Timestamp,Latitude,Longitude,RSRP,SNR,RSRQ,RSSI,Downlink throughput (application)
 9:46:21,3.04316,101.59317,,,,,
 9:46:21,3.04316,101.59317,-110,,-15,-87,
 9:46:21,3.04316,101.59317,,-5,,,
 9:46:22,3.043166,101.593269,,,,,
 9:46:22,3.043166,101.593269,-110,,-15,-88,
 9:46:22,3.043166,101.593269,,-9,,,
 9:46:22,3.043166,101.593269,-113,,-17,-89,
 9:46:22,3.043166,101.593269,,-9,,,
 9:46:22,3.043166,101.593269,,-9,,,
 9:46:22,3.043166,101.593269,-113,,-17,-89,
 9:46:22,3.043166,101.593269,,-9,,,
 9:46:23,3.043173,101.593376,,,,,
 9:46:23,3.043173,101.593376,-105,,-11,-89,
 9:46:23,3.043173,101.593376,,-8,,,
 9:46:23,3.043173,101.593376,,-8,,,
 9:46:23,3.043173,101.593376,-105,,-11,-89,
 9:46:23,3.043173,101.593376,,-8,,,
 9:46:24,3.043178,101.593468,,,,,
 9:46:24,3.043178,101.593468,-107,,-12,-90,
 9:46:24,3.043178,101.593468,,-5,,,
 9:46:25,3.043182,101.593567,,,,,
 9:46:25,3.043182,101.593567,,,,,5768.3
 9:46:25,3.043182,101.593567,-106,,-14,-85,
 9:46:25,3.043182,101.593567,,-3.5,,,
 9:46:26,3.043187,101.593651,,,,,
 9:46:26,3.043187,101.593651,,,,,4418.4
 9:46:26,3.043187,101.593651,-106,,-15,-85,
 9:46:26,3.043187,101.593651,,-4,,,
 9:46:27,3.043192,101.593742,,,,,
 9:46:27,3.043192,101.593742,,,,,259.3
 9:46:27,3.043192,101.593742,-106,,-16,-83,
 9:46:27,3.043192,101.593742,,-5.5,,,
 9:46:28,3.043195,101.593842,,,,,
 9:46:28,3.043195,101.593842,,,,,5103.6
 9:46:28,3.043195,101.593842,-104,,-16,-84,
 9:46:28,3.043195,101.593842,,-5.5,,,
 9:46:29,3.043195,101.593941,,,,,
 9:46:29,3.043195,101.593941,,,,,1959.5
 9:46:29,3.043195,101.593941,-103,,-14,-82,
 9:46:29,3.043195,101.593941,,-4.5,,,
 9:46:30,3.0432,101.59404,,,,,
 9:46:30,3.0432,101.59404,,,,,8253
 9:46:30,3.0432,101.59404,-102,,-13,-84,
 9:46:30,3.0432,101.59404,,-3,,,
 9:46:31,3.043206,101.594139,,,,,
